"Year...Month","Event","Deaths","Injured","Houses.Destroyed","Houses.Damaged","Directly.affected","Indirectly.Affected","Country","Category","Country_ID","Category_ID"
"1975/04","LANDSLIDE",2,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1975/05","FLOOD",2,34,7,400,189,306,"Venezuela","Natural - Hydrological",7,7
"1975/06","FIRE",2,34,7,5,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/06","FLOOD",2,34,7,27,450,306,"Venezuela","Natural - Hydrological",7,7
"1975/06","STRONGWIND",2,34,7,310,189,306,"Venezuela","Natural - Meteorological",7,8
"1975/07","FLOOD",2,34,7,27,2250,306,"Venezuela","Natural - Hydrological",7,7
"1975/07","LANDSLIDE",2,34,7,8,189,200,"Venezuela","Natural - Geological",7,6
"1975/07","STORM",2,34,7,100,189,306,"Venezuela","Natural - Meteorological",7,8
"1975/07","STRONGWIND",2,34,7,40,189,306,"Venezuela","Natural - Meteorological",7,8
"1975/08","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/08","FLOOD",2,34,40,27,180,306,"Venezuela","Natural - Hydrological",7,7
"1975/08","LANDSLIDE",2,34,3,27,189,306,"Venezuela","Natural - Geological",7,6
"1975/08","SPATE",1,34,7,27,189,306,"Venezuela","Other",7,9
"1975/09","ALLUVION",8,34,7,27,300,306,"Venezuela","Other",7,9
"1975/09","FIRE",2,34,43,27,194,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/09","FLOOD",3,34,7,40,1000,306,"Venezuela","Natural - Hydrological",7,7
"1975/09","LANDSLIDE",4,34,2,1,90,306,"Venezuela","Natural - Geological",7,6
"1975/10","ALLUVION",2,34,7,27,500,306,"Venezuela","Other",7,9
"1975/10","FLOOD",16,34,35,230,2708,306,"Venezuela","Natural - Hydrological",7,7
"1975/10","LANDSLIDE",12,34,59,4,360,306,"Venezuela","Natural - Geological",7,6
"1975/10","SPATE",12,34,40,27,200,306,"Venezuela","Other",7,9
"1975/11","FIRE",3,34,1,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/11","FLOOD",2,34,7,130,189,306,"Venezuela","Natural - Hydrological",7,7
"1975/11","LANDSLIDE",1,34,16,27,2430,306,"Venezuela","Natural - Geological",7,6
"1975/12","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/12","FLOOD",1,34,7,30,11000,306,"Venezuela","Natural - Hydrological",7,7
"1975/12","LANDSLIDE",6,34,15,27,1766,306,"Venezuela","Natural - Geological",7,6
"1975/12","SPATE",2,34,7,27,189,306,"Venezuela","Other",7,9
"1975/12","SURGE",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1976/00","FLOOD",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1976/00","HURRICANE",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
